id,Name,ReleaseDate,Director,Creator
spirit_stallion_of_the_cimarrontt1183696,Dil Toh Baccha Hai JiSpirit - Stallion of the CimarronSecond Skin,"28-Jan-11May 24, 2002 Wide7 August 2009 (USA)","Madhur BhandarkarLorna Cook,Kelly AsburyJuan Carlos Pineiro Escoriaza","Kumar Mangat,Madhur BhandarkarJohn FuscoVictor Pineiro-Escoriaza"
10009526-public_enemiestt1836974,7 Khoon MaafPublic EnemiesEcstasy of Order: The Tetris Masters,"18-Feb-11Jul 1, 2009 Wide2011 (USA)",Vishal BhardwajMichael MannAdam Cornelius,"Ronnie Screwvala,Vishal BhardwajMichael Mann,Ronan Bennett,Ann Biderman,Mark St. GermainChris Higgins"
1004177-cimarrontt2312464,Tanu Weds ManuCimarronThe Video Craze,"25-Feb-11Jan 26, 1931 Wide13 July 2013 (USA)",Anand L. RaiWesley RugglesDave Danzara,"Surya Sonal Singh,Vinod Bachchan,Sailesh R. SinghHoward Estabrook,Edna FerberDave Danzara,Sean Newton"
city_lightstt0462246,F.A.L.T.UCity LightsDarkon,"01-Apr-11Mar 7, 1931 Wide11 March 2006 (USA)","Remo D'SouzaCharles ChaplinLuke Meyer,Andrew Neel","Vashu BhagnaniCharles Chaplin,Harry Crocker,Henry Bergman,Albert AustinLuke Meyer,Andrew Neel"
illicit_dreamstt2427898,GameIllicit DreamsThe Space Invaders: In Search of Lost Time,"01-Apr-11Jun 1, 1994 Wide",Abhinay DeoAndrew StevensJeff Von Ward,"Farhan Akhtar,Ritesh SidhwaniJeff Von Ward"
1046568-illicittt2395228,Dum Maaro DumIllicitThe King of Arcades,"22-Apr-11Feb 14, 1931 Wide17 June 2014 (USA)",Rohan SippyArchie MayoSean Tiedeman,Ramesh SippyHarvey Thew
white_zombiett3908598,Haunted 3DWhite ZombieLamb,"06-May-11Aug 4, 1932 Wide14 March 2015 (USA)",Vikram BhattVictor HalperinRoss Partridge,"Arun RangachariGarnett WestonBonnie Nadzam,Ross Partridge"
10003373-old_dark_housett2403021,Bbuddah Hoga Terra BaapThe Old Dark HouseThe Green Inferno,"01-Jul-11Oct 31, 1963 Wide25 September 2015 (USA)",Puri JagannadhWilliam CastleEli Roth,"Puri JagannadhRobert DillonGuillermo Amoedo,Eli Roth"
1061171-old_dark_housett0094737,ForceThe Old Dark HouseBig,"30-Sep-11Jan 1, 1932 Wide3 June 1988 (USA)",Nishikant KamatJames WhalePenny Marshall,"Vipul Amrutlal ShahBenn W. Levy,R.C. Sherriff,J.B. Priestley,Benn Wolfe LevyGary Ross,Anne Spielberg"
island_of_lost_souls_1974tt0364045,Ladies vs Ricky BahlIsland of Lost SoulsTaking Lives,"09-Dec-11Aug 8, 1974 Wide19 March 2004 (USA)","Maneesh SharmaRené Cardona,René Cardona Sr.D.J. Caruso","Aditya ChopraMichael Pye,Jon Bokenkamp"
1068787-last_of_the_mohicanstt0172493,"Chalo DilliThe Last of the MohicansGirl, Interrupted","29-Apr-11Nov 21, 1920 Wide14 January 2000 (USA)","Shashant ShahMaurice Tourneur,Clarence BrownJames Mangold","Lara Datta,Krishika Lulla,Kavita Bhupathi ChaddaRobert A. DillonSusanna Kaysen,James Mangold"
island_of_lost_souls_2007tt1219342,Pyaar Ka PunchnamaIsland of Lost SoulsLegend of the Guardians: The Owls of Ga'Hoole,"20-May-11Feb 9, 2007 Wide24 September 2010 (USA)","Luv RanjanLee Sang-hoon II,Nikolaj Arcel,Nicolaj ArcelZack Snyder","Abhishek PathakNikolaj Arcel,Rasmus Heisterberg,Nicolaj ArcelJohn Orloff,Emil Stern"
1087270-mummytt0432283,Yeh Saali ZindagiThe MummyFantastic Mr. Fox,"04-Feb-11Jun 1, 1999 Wide25 November 2009 (USA)","Sudhir MishraAdrian Biddle,Arnold Vosloo,Brendan Fraser,John Hannah,Kevin J. O'Connor,Oded Fehr,Rachel Weisz,Stephen Dunham,Stephen SommersWes Anderson","Cine Raas Productions,Mystic MoviesStephen SommersRoald Dahl,Wes Anderson"
the_mummy_2017tt3862750,Teen Thay BhaiThe MummyThe Perfect Guy,"15-Apr-11Mar 24, 2017 Wide11 September 2015 (USA)",Mrighdeep Singh LambaAlex KurtzmanDavid M. Rosenthal,"Rakesh Omprakash MehraJon SpaihtsAlan B. McElroy,Tyger Williams"
freakstt1253864,Shor In The CityFreaksImmortals,"29-Apr-11Feb 20, 1932 Wide11 November 2011 (USA)","Krishna D.K,Raj NidimoruTod BrowningTarsem Singh","Ekta Kapoor,Shobha KapoorWillis Goldbeck,Leon Gordon,Edgar Allan Woolf,Al BoasbergCharley Parlapanides,Vlas Parlapanides"
1014370-mummytt2131532,Luv Ka The EndThe MummyHidden,"06-May-11Dec 22, 1932 Wide15 September 2015 (USA)","BumpyKarl Freund,Karl W. FreundMatt Duffer,Ross Duffer","Ashish PatilRichard Schayer,Nina Wilcox Putnam,E. Richard Schayer,John L. BalderstonMatt Duffer,Ross Duffer"
vampires_assistanttt3316948,Ragini MMSCirque du Freak: The Vampire's AssistantAmerican Ultra,"13-May-11Oct 23, 2009 Wide21 August 2015 (USA)",Pawan KirpalaniPaul WeitzNima Nourizadeh,"Ekta Kapoor,Shobha KapoorPaul Weitz,Brian HelgelandMax Landis"
1040678-last_of_the_mohicanstt0099700,Love U...Mr. Kalakaar!The Last of the MohicansGremlins 2: The New Batch,"13-May-11Sep 25, 1992 Wide15 June 1990 (USA)",S. ManasviMichael MannJoe Dante,"Ajit Kumar Barjatya,Kamal Kumar Barjatya,Rajkumar BarjatyaMichael Mann,Christopher Crowe,Philip DunneChris Columbus,Charles S. Haas"
grand_hoteltt0084516,ShagirdGrand HotelPoltergeist,"13-May-11Jan 1, 1932 Limited4 June 1982 (USA)",Tigmanshu DhuliaEdmund GouldingTobe Hooper,"Hussain ShaikhVicki Baum,William A. DrakeSteven Spielberg,Michael Grais"
the_jesus_freaktt0096061,DabanggThe Jesus FreakScrooged,"10-Sep-10Dec 11, 2015 Limited23 November 1988 (USA)",Abhinav KashyapCarl JacksonRichard Donner,"Maliaka Arora,Arbaaz Khan,Dillion MehtaCarl JacksonMitch Glazer,Michael O'Donoghue"
shopworntt0327554,Stanley Ka DabbaShopwornCatwoman,"13-May-11Mar 25, 1932 Wide23 July 2004 (USA)",Amol GupteNick GrindePitof,"Amol GupteJo Swerling,Sarah Y. Mason,Robert RiskinBob Kane,Theresa Rebeck"
island_of_lost_souls_1933tt0087258,Kucch Luv JaisaIsland of Lost SoulsFinal Justice,"27-May-11Jan 1, 1933 WideMay 1985 (USA)",Barnali Ray ShuklaErle C. KentonGreydon Clark,"Vipul Amrutlal ShahH.G. Wells & Waldemar Young,Philip Wylie,Waldemar YoungGreydon Clark"
1030868-three_on_a_matchtt0315775,ShaitanThree on a MatchAnne B. Real,"10-Jun-11Oct 29, 1932 Wide14 June 2003 (USA)",Bejoy NambiarMervyn LeRoyLisa France,"Anurag Kashyap,Guneet Monga,Sunil BohraKubec Glasmon,Lucien Hubbard,John BrightAntonio Macia,Antonio Macia"
the_grand_budapest_hoteltt0069303,Chatur Singh Two StarThe Grand Budapest HotelSounder,"19-Aug-11Mar 7, 2014 Limited10 May 1973 (France)",Ajay ChandhokWes AndersonMartin Ritt,"Mohammad AslamStefan Zweig,Hugo Guinnss,Hugo Guinness,Wes AndersonLonne Elder III,William H. Armstrong"
millionaires_expresstt0028691,Chillar PartyFoo gwai lit che (Millionaire's Express) (Shanghai Express) (Wealthy Train)Captains Courageous,"08-Jul-11Jan 30, 1986 Wide25 June 1937 (USA)","Nitish Tiwari,Vikas BahlSammo Hung Kam-BoVictor Fleming","Salman Khan,Ronnie ScrewvalaRudyard Kipling,John Lee Mahin"
1043598-shanghai_expresstt0026261,Not A Love StoryShanghai ExpressDangerous,"19-Aug-11Feb 12, 1932 Limited25 December 1935 (USA)",Ram Gopal VermaJosef von SternbergAlfred E. Green,"Sailesh R. Singh,Sunil Bohra,Kiran Kumar KoneruHarry Hervey,Jules FurthmanLaird Doyle,Laird Doyle"
1018323-scarfacett0036230,IshaqzaadeScarfaceOld Acquaintance,"11-May-12Apr 9, 1932 Wide27 November 1943 (USA)",Habib FaisalHoward HawksVincent Sherman,"Aditya ChopraFred Pasley,Ben Hecht,W.R. Burnett,Seton I. Miller,Fred PalseyJohn Van Druten,Lenore J. Coffee"
1030244-red_dusttt0110216,Dangerous IshhqRed DustJunior,"11-May-12Jan 1, 1932 Wide23 November 1994 (USA)",Vikram BhattVictor FlemingIvan Reitman,"Arun RangachariJohn Lee MahinKevin Wade,Chris Conrad"
10004812-red_dusttt0058745,No ProblemRed DustWhere Love Has Gone,"10-Dec-10Jan 1, 2004 Wide2 November 1964 (USA)",Anees BazmeeTom HooperEdward Dmytryk,"Anil Kapoor,B.K. Modi,Rajat Rawail,Sunil LullaTroy Kennedy-MartinJohn Michael Hayes,Harold Robbins"
the-conquerors1932tt0022481,Band Baaja BaaraatThe ConquerorsThree Who Loved,"10-Dec-10Nov 18, 1932 Wide3 July 1931 (USA)",Maneesh SharmaWilliam WellmanGeorge Archainbaud,"Aditya ChopraRobert LordMartin Flavin,Beulah Marie Dix"
trouble_in_paradise_2003tt0044166,Tees Maar KhanTrouble In ParadiseThe Unknown Man,"24-Dec-10Jan 1, 2003 Wide16 November 1951 (USA)",Farah KhanDave ColemanRichard Thorpe,"Ronnie Screwvala,Shirish Kunder,Twinkle KhannaRonald Millar,George Froeschel"
trouble_in_paradisett0023406,Break Ke BaadTrouble in ParadiseThe Roadhouse Murder,"26-Nov-10May 16, 1989 Wide6 May 1932 (USA)",Danish AslamDi DrewJ. Walter Ruben,"Kunal KohliMaurice Level,J. Walter Ruben"
fullmetal_alchemist_the_movie_conqueror_of_shamballatt0024320,GuzaarishFullmetal Alchemist the Movie: Conqueror of ShamballaMeet the Baron,"19-Nov-10Jan 1, 2005 Wide20 October 1933 (USA)",Sanjay Leela BhansaliSeiji MizushimaWalter Lang,"Ronnie Screwvala,Sanjay Leela BhansaliSho AikawaHerman J. Mankiewicz,Norman Krasna"
1118325-trouble_in_paradisett0033436,Action ReplayyTrouble in ParadiseBuck Privates,"05-Nov-10Oct 21, 1932 Limited31 January 1941 (USA)",Vipul Amrutlal ShahErnst LubitschArthur Lubin,"Vipul Amrutlal Shah,Twinkle KhannaAladar Laszlo,Grover Jones,Samson RaphaelsonArthur T. Horman,John Grant"
murders_in_the_rue_morgue_1971tt0037771,Anjaana AnjaaniMurders in the Rue MorgueHere Come the Co-eds,"01-Oct-10Sep 1, 1971 Wide2 February 1945 (USA)","Siddharth AnandGordon Hessler,Robert FloreyJean Yarbrough","Sajid NadiadwalaHenry Slesar,Christopher WickingJohn Grant,Edmund L. Hartmann"
scarfacett0047794,We Are FamilyScarfaceAbbott and Costello Meet the Keystone Kops,"02-Sep-10Dec 9, 1983 Wide21 February 1955 (Sweden)",Siddharth MalhotraBrian DePalmaCharles Lamont,"Karan Johar,Hiroo JoharOliver StoneJohn Grant,Lee Loeb"
rockabye_1933tt0018524,Lafangey ParindeyRockabyeUncle Tom's Cabin,"20-Aug-10Jan 1, 1933 Wide2 September 1928 (USA)",Pradeep SarkarGeorge CukorHarry A. Pollard,"Aditya ChopraKubec GlasmonHarriet Beecher Stowe,Harvey F. Thew"
baby-face-nelsontt0057225,Peepli [Live]Baby Face NelsonKings of the Sun,"13-Aug-10Jun 1, 1995 Wide18 December 1963 (USA)","Anusha RizviScott Levy,Scott P. LevyJ. Lee Thompson","Aamir Khan,Kiran RaoJoseph Farrugia,Craig J. NeviusElliott Arnold,Elliott Arnold"
anthar-linvincibiledevil-of-the-desert-against-the-son-of-herculestt0058104,AishaAnthar l'invincibile (Devil of the Desert Against the Son of Hercules)Flight from Ashiya,"06-Aug-10Jun 27, 1964 Wide25 March 1964 (USA)",Rajshree OjhaAntonio MargheritiMichael Anderson,"Anil Kapoor,Sanjeev K. Bijli,Rhea Kapoor,Ajay BijliElliott Arnold,Elliott Arnold"
madame_butterfly_1996tt0083113,Once Upon A Time In MumbaaiMadame ButterflySphinx,"30-Jul-10May 3, 1996 Wide11 February 1981 (USA)","Milan LuthriaFrédéric Mitterrand,Frederic Mitterand,Frédéric MitterrandFranklin J. Schaffner","Ekta Kapoor,Shobha KapoorGiuseppe Giacosa,Luigi Illica,Frédéric MitterrandJohn Byrum,Robin Cook"
the_son_of_king_kongtt0086992,Khatta MeethaThe Son Of King KongThe Bostonians,"23-Jul-10Jan 1, 2003 WideSeptember 1984 (UK)",PriyadarshanTimo VainikkaJames Ivory,"Henry James,Ruth Prawer Jhabvala"
1011617-king_kongtt0081974,I Hate Luv StorysKing KongAbsence of Malice,"02-Jul-10Dec 17, 1976 Wide18 December 1981 (USA)",Punit MalhotraJohn GuillerminSydney Pollack,"Karan Johar,Hiroo Johar,Ronnie ScrewvalaLorenzo Semple Jr.Kurt Luedtke"
baby_facett0057163,RaavanBaby FaceHud,"18-Jun-10Jun 23, 1933 Wide29 May 1963 (USA)",Mani RatnamAlfred E. GreenMartin Ritt,"Mani RatnamGene Markey,Kathryn Scola,Darryl F. ZanuckIrving Ravetch,Harriet Frank Jr."
sons_of_the_deserttt0034240,RaajneetiSons of the DesertSullivan's Travels,"04-Jun-10Sep 29, 1933 LimitedDecember 1941 (USA)","Prakash JhaCharley Chase,Dorothy Christy,Lloyd French,Lucien Littlefield,Mae Busch,Oliver Hardy,Stan Laurel,William A. SeiterPreston Sturges","Prakash JhaFrank Craven,Byron MorganPreston Sturges"
